Producent,Nazwa,Moc,Pasmo,Protokół,Kanały,Wentylator,Mocowanie,Złącze,Kolor główny,Kolor dodatkowy,Sygnalizacja,Zdjęcie,Zdjęcie2,Zdjęcie3,Wygeneruj konfigurację,Strona producenta,Instrukcja,Dodatkowo:,"{bd, h}",{h},col23,col24,col25,col26,col27
FTWHOBBY,Hiker,2.5W,5.8G,IRC Tramp,40Ch,Wbudowany,20x20,MMCX,Czarny,Czerwony,Diody LED,pic/ftwhobby_hiker_2_pic1.webp,,pic/ftwhobby_hiker_2_pic3.webp,,,,,,,,,,,
FTWHOBBY,Hiker 1.2G,1.6W,1.2G,IRC Tramp,9Ch,Brak,20x20,MMCX,Czarny,Metaliczny,Diody LED,pic/ftwhobby_hiker_1.2g_pic1.webp,pic/ftwhobby_hiker_1.2g_pic2.webp,pic/ftwhobby_hiker_1.2g_pic3.webp,,,,,,,,,,,
SKYZONE,ATOMRC TX1200,1.2W,5.8G,IRC Tramp,40Ch,Zdejmowany,30.5x30.5,MMCX,Czarny,Czarny,Ekran,pic/skyzone_atomrc_tx1200_pic1.webp,pic/skyzone_atomrc_tx1200_pic2.webp,,,https://www.skyzonefpv.com/products/atomrc-tx1200-analog-vtx,,,,,,,,,
SKYZONE,ATOMRC TX1201,1.2W,"5.8G, 4.9G",IRC Tramp,56Ch,Brak,30.5x30.5,MMCX,Czerwony,Złoty,Ekran,pic/skyzone_atomrc_tx1201_pic1.webp,pic/skyzone_atomrc_tx1201_pic2.webp,,,https://www.skyzonefpv.com/products/atomrc-tx1201-5-8g-1-2w-vtx,,,,,,,,,
SKYZONE,TX2500,2.5W,"5.8G, 4.9G",IRC Tramp,56Ch,Zdejmowany,30.5x30.5,SMA,Czarny,Czarny,Ekran,pic/skyzone_tx2500_pic1.webp,pic/skyzone_tx2500_pic2.webp,,,https://www.skyzonefpv.com/products/skyzone-atomrc-tx2500-vtx-with-2-5w-output-and-5-8g-antenna,,,,,,,,,
SKYZONE,TX2501,2.5W,"5.8G, 4.9G",IRC Tramp,56Ch,Brak,30.5x30.5,MMCX,Czarny,Czarny,Ekran,pic/skyzone_tx2501_pic1.webp,pic/skyzone_tx2501_pic2.webp,,,https://www.skyzonefpv.com/products/skyzone-tx2501-vtx-with-adjustable-power-output,,,,,,,,,
SKYZONE,TX2501 CNC,2.5W,"5.8G, 4.9G",IRC Tramp,56Ch,Zdejmowany,30.5x30.5,MMCX,Czarny,Czarny,Ekran,pic/skyzone_tx2501_cnc_pic1.webp,pic/skyzone_tx2501_cnc_pic2.webp,,,https://www.skyzonefpv.com/products/skyzone-tx2501-cnc-5-8g-2-5w-vtx,manuals/skyzone_tx2501_cnc_58g_25w_l_x_band_vtx_manual.pdf,,,,,,,,
SKYZONE,TX2501 CNC (2025),2.5W,"5.8G, 4.9G, 6.1G",IRC Tramp,64Ch,Zdejmowany,30.5x30.5,MMCX,Czarny,Czarny,Ekran,pic/skyzone_tx2501_cnc_pic1.webp,pic/skyzone_tx2501_cnc_pic2.webp,,,,manuals/TX2501CNC-S.webp,Zaktualizowana wersja z obsługą 6.1G,Zaktualizowana wersja,,,,,,
SKYZONE,ATOMRC 1.2G,1.2W,1.2G,IRC Tramp,9Ch,Brak,30.5x30.5,MMCX,Czarny,Złoty,Ekran,pic/skyzone_atomrc_1.2g_pic1.webp,pic/skyzone_atomrc_1.2g_pic2.webp,,,https://www.skyzonefpv.com/products/atomrc-1-2g-1-6w-led-video-transmitter,,,,,,,,,
SKYZONE,VT1225,2.5W,1.2G,IRC Tramp,16Ch,Wbudowany,30.5x30.5,MMCX,Czarny,Czarny,Ekran,pic/skyzone_vt1225_pic1.webp,pic/skyzone_vt1225_pic2.webp,pic/skyzone_vt1225_pic3.webp,,https://www.skyzonefpv.com/products/skyzone-vt1225-cnc-vtx,,,,,,,,,
SKYZONE,VT5850 CNC 6G,5W,6.1G,IRC Tramp,64Ch,Wbudowany,30.5x30.5,MMCX,Czarny,Czarny,Ekran,pic/skyzone_vt5850_cnc_6g_pic1.webp,pic/skyzone_vt5850_cnc_6g_pic2.webp,pic/skyzone_vt5850_cnc_6g_pic3.webp,,https://www.skyzonefpv.com/collections/vtx/products/skyzone-vt5850-cnc-6-2g-vtx,manuals/VT5850_CNC_6.2G_VTX_251031EN.webp,,,,,,,,
SKYZONE,VT6550 CNC 6.5G,4W,6.1G,IRC Tramp,32Ch,Wbudowany,30.5x30.5,MMCX,Czarny,Czarny,Ekran,pic/skyzone_vt6550_cnc_6.5g_pic1.webp,pic/skyzone_vt6550_cnc_6.5g_pic2.webp,pic/skyzone_vt6550_cnc_6.5g_pic3.webp,,https://www.skyzonefpv.com/collections/vtx/products/skyzone-vt6550-cnc-6-5g-vtx,manuals/VT6550_CNC_6.5G_VTX_251031EN.webp,,,,,,,,
SKYZONE,VT7550 CNC 7.5G,5W,7G +,IRC Tramp,72Ch,Wbudowany,20x20,SMA,Czarny,Czerwony,Ekran,pic/skyzone_vt7550_cnc_7.5g_pic1.webp,pic/skyzone_vt7550_cnc_7.5g_pic2.webp,pic/skyzone_vt7550_cnc_7.5g_pic3.webp,,https://www.skyzonefpv.com/collections/vtx/products/skyzone-vt7550-cnc-7-5g-vtx,manuals/VT7.5G_EN260113.webp,,,,,,,,
DIATONE,MAMBA,1.6W,5.8G,IRC Tramp,48Ch,Brak,30.5x30.5,MMCX,Czarny,Biały,Diody LED,pic/diatone_mamba_pic1.webp,,,,https://www.diatone.us/products/mamba-5-8g-1-6w-video-transimitter,,,,,,,,,
DIATONE,Mamba Ultra,2.5W,5.8G,IRC Tramp,40Ch,Brak,30.5x30.5,MMCX,Czarny,Biały,Diody LED,pic/diatone_mamba_ultra_pic1.webp,,,,https://www.diatone.us/products/mamba-ultra-2500mw-5-8g-video-transmitter,,,,,,,,,
DIATONE,Mamba Ultra,1W,5.8G,IRC Tramp,40Ch,Brak,30.5x30.5,MMCX,Czarny,Biały,Diody LED,pic/diatone_mamba_ultra_2_pic1.webp,pic/diatone_mamba_ultra_2_pic2.webp,,,,,,,,,,,,
DIATONE,Mamba Dual Core,2.5W,5.8G,IRC Tramp,72Ch,Wbudowany,30.5x30.5,MMCX,Czarny,Czerwony,Diody LED,pic/diatone_dual_core_pic1.webp,,,,https://www.diatone.us/products/mamba-dual-core-5-8g-2-5w-vtx,manuals/MAMBA-5.8g-Pro-Dual-Core-80CH.pdf,,,,,,,,
PandaRC,VT-5804-BAT,2.5W,5.8G,IRC Tramp,48Ch,Brak,30.5x30.5,MMCX,Złoty,Biały,Diody LED,pic/pandarc_vt-5804-bat_pic1.webp,,,,,,,,,,,,,
PandaRC,VT-5804-BAT,2.5W,5.8G,IRC Tramp,48Ch,Brak,30.5x30.5,MMCX,Czarny,Biały,Diody LED,pic/pandarc_vt-5804-bat_2_pic1.webp,,,,,,,,,,,,,
PandaRC,VT-5804-BAT PRO,2.8W,"5.8G, 4.9G, 6.1G",IRC Tramp,64Ch,Wbudowany,20x20,MMCX,Złoty,Biały,Diody LED,pic/pandarc_vt-5804-bat_pro_pic1.webp,pic/pandarc_vt-5804-bat_pro_pic2.webp,,,,,,,,,,,,
Axisflying,SMURFS,1.6W,5.8G,IRC Tramp,40Ch,Brak,20x20,U.FL/IPEX,Niebieski,Biały,Diody LED,pic/axisflying_smurfs_pic1.webp,,,,https://www.axisflying.com/products/smurfs-vtx-58g-16w-analog-image-transmission?VariantsId=10498,,,,,,,,,
Axisflying,ROCK,3W,5.8G,IRC Tramp,40Ch,Wbudowany,20x20,MMCX,Czarny,Czerwony,Diody LED,pic/axisflying_rock_pic1.webp,pic/axisflying_rock_pic2.webp,,,https://www.axisflying.com/products/axisflying-rock-58g-3w-built-in-mlc-anti-interference-dual-core-image-transmission-for-drone,,,,,,,,,
Axisflying,TERK Max,3W,"5.8G, 4.9G",IRC Tramp,56Ch,Wbudowany,20x20,MMCX,Czarny,Czerwony,Diody LED,pic/axisflying_terk_max_pic1.webp,,,,https://www.axisflying.com/products/axisflying-58g-3w-analog-vtx-drones-accessories,,,,,,,,,
Axisflying,TERK Max,5W,"5.8G, 4.9G",IRC Tramp,56Ch,Wbudowany,20x20,MMCX,Czarny,Czerwony,Diody LED,pic/axisflying_terk_max_2_pic1.webp,,,,https://www.axisflying.com/products/axisflying-58g-5w-analog-vtx-drones-accessories,,,,,,,,,
Axisflying,3.3G,2.5W,3.3G,IRC Tramp,16Ch,Wbudowany,20x20,MMCX,Czarny,Czerwony,Diody LED,pic/axisflying_3.3g_pic1.webp,,,,https://www.axisflying.com/products/axisflying-33g-25w-analog-vtx-drones-accessories?VariantsId=10503,,,,,,,,,
Axisflying,TERK 1.2G,4W,1.2G,IRC Tramp,16Ch,Wbudowany,20x20,SMA,Czarny,Czerwony,Diody LED,pic/axisflying_terk_1.2g_pic1.webp,pic/axisflying_terk_1.2g_pic2.webp,pic/axisflying_terk_1.2g_pic3.webp,,https://www.axisflying.com/products/12g-4w-vtx-transmitter-high-power-wireless-video-transmission?VariantsId=10688,manuals/TERKVTX-4W12GInstructions.pdf,,,,,,,,
FlashHobby,Solar,2.5W,5.8G,IRC Tramp,40Ch,Brak,30.5x30.5,MMCX,Czarny,Niebieski,Diody LED,pic/flashhobby_solar_pic1.webp,,,,,,,,,,,,,
FlashHobby,Solar,2.5W,5.8G,IRC Tramp,40Ch,Brak,30.5x30.5,MMCX,Czarny,Pomarańczowy,Diody LED,pic/flashhobby_solar_2_pic1.webp,,,,,,,,,,,,,
Flytex,Fuzia,2.5W,"5.8G, 4.9G",IRC Tramp,80Ch,Brak,30.5x30.5,MMCX,Metaliczny,Fioletowy,Diody LED,pic/flytex_fuzia_pic1.webp,pic/flytex_fuzia_pic2.webp,,,https://flytex.pro/transmitters-and-receivers-ua/fuzia-vtx-ua.html,,,,,,,,,
Stingbee,Stellar VTX,2.5W,"5.8G, 4.9G",IRC Tramp,64Ch,Brak,30.5x30.5,MMCX,Metaliczny,Niebieski,Diody LED,pic/stingbee_stellar_vtx_pic1.webp,pic/stingbee_stellar_vtx_pic2.webp,,,https://stingbee.com.ua/vtx/stellar_vtx_2.5,,,,,,,,,
Caddx?,Graph12,4W,1.2G,IRC Tramp,9Ch,Zdejmowany,30.5x30.5,SMA,Czarny,Czarny,Diody LED,pic/caddx__graph12_pic1.webp,,,,,,,,,,,,,
HumbirdTec,1G3TE,2W,1.2G,IRC Tramp,9Ch,Brak,30.5x30.5,SMA,Niebieski,Czarny,Diody LED,pic/humbirdtec_1g3te_pic1.webp,pic/humbirdtec_1g3te_pic2.webp,,,,,,,,,,,,
Noname,Totem,2.5W,5.8G,IRC Tramp,48Ch,Wbudowany,25.5x25.5,MMCX,Czarny,Czerwony,Diody LED,pic/noname_totem_pic1.webp,pic/noname_totem_pic2.webp,,,,,,,,,,,,
SoloGood,PAx 2,2.5W,5.8G,IRC Tramp,40Ch,Brak,30.5x30.5,MMCX,Czarny,Złoty,Diody LED,pic/sologood_pax_2_pic1.webp,pic/sologood_pax_2_pic2.webp,,,https://www.sologood.net/products/sologood-5-8g-max-2-5w-40ch-vtx-0-25-400-800-1500-2500mw-ntsc-pal-for-rc-fpv-freestyle-long-range-racing-drone?_pos=13&_sid=127c3e1a7&_ss=r,,,,,,,,,
PAURC,VTX,3W,"5.8G, 4.9G",IRC Tramp,80Ch,Wbudowany,20x20,MMCX,Niebieski,Czarny,Diody LED,pic/paurc_vtx_pic1.webp,pic/paurc_vtx_pic2.webp,,,,,,,,,,,,
PAURC,VTX,1.6W,5.8G,IRC Tramp,48Ch,Brak,20x20,MMCX,Niebieski,Czarny,Diody LED,pic/paurc_vtx_2_pic1.webp,pic/paurc_vtx_2_pic2.webp,,,,,,,,,,,,
Aikon,VTX,2.5W,5.8G,IRC Tramp,40Ch,Wbudowany,20x20,MMCX,Czarny,Biały,Diody LED,pic/aikon_vtx_pic1.webp,pic/aikon_vtx_pic2.webp,,,,,,,,,,,,
Aikon,VTX,2.5W,5.8G,IRC Tramp,40Ch,Brak,30.5x30.5,MMCX,Czarny,Złoty,Diody LED,pic/aikon_vtx_2_pic1.webp,pic/aikon_vtx_2_pic2.webp,,,,,,,,,,,,
AocodaRC,FX112T,2W,1.2G,,8Ch,Wbudowany,20x20,MMCX,Czarny,Czerwony,Diody LED,pic/aocodarc_fx112t_pic1.webp,pic/aocodarc_fx112t_pic2.webp,,,,,,,,,,,,
AocodaRC,3016,1.6W,5.8G,IRC Tramp,40Ch,Brak,30.5x30.5,MMCX,Czarny,Biały,Diody LED,pic/aocodarc_3016_pic1.webp,pic/aocodarc_3016_pic2.webp,,,https://www.aocoda-rc.com/products/69,,,,,,,,,
JINJIEAN,,2.5W,5.8G,IRC Tramp,48Ch,Brak,30.5x30.5,MMCX,Czarny,Biały,Diody LED,pic/jinjiean_prod1_pic1.webp,pic/jinjiean_prod1_pic2.webp,,,,,,,,,,,,
JINJIEAN,,2.5W,5.8G,IRC Tramp,72Ch,Brak,30.5x30.5,MMCX,Czarny,Biały,Diody LED,pic/jinjiean_prod2_pic1.webp,pic/jinjiean_prod2_pic2.webp,,,,,,,,,,,,
RCDrone,,5W,"5.8G, 4.9G",IRC Tramp,80Ch,Wbudowany,20x20,MMCX,Czarny,Czarny,Diody LED,pic/rcdrone_prod1_pic1.webp,pic/rcdrone_prod1_pic2.webp,,,,,,,,,,,,
E-POWERRC,,4W,"5.8G, 4.9G",IRC Tramp,56Ch,Wbudowany,20x20,MMCX,Czarny,Czerwony,Diody LED,pic/e-powerrc_prod1_pic1.webp,pic/e-powerrc_prod1_pic2.webp,,,,,,,,,,,,
TEARCKEP,,2.5W,5.8G,IRC Tramp,48Ch,Wbudowany,20x20,MMCX,Czarny,Czerwony,Diody LED,pic/tearckep_prod1_pic1.webp,pic/tearckep_prod1_pic2.webp,,,,,,,,,,,,
BOSCAM,,3W,5.8G,IRC Tramp,48Ch,Wbudowany,30.5x30.5,MMCX,Czarny,Czarny,Diody LED,pic/boscam_prod1_pic1.webp,pic/boscam_prod1_pic2.webp,,,,,,,,,,,,
Noname,,1.6W,1.2G,Brak,8Ch,Brak,Brak,SMA,Metaliczny,Metaliczny,Ekran,pic/noname_prod1_pic1.webp,pic/noname_prod1_pic2.webp,,,,,Występują wersje na 1.5 GHz,,,,,,,
Noname,,1.6W,1.2G,Brak,9Ch,Brak,Brak,U.FL/IPEX,Czarny,Biały,Diody LED,pic/noname_prod2_pic1.webp,pic/noname_prod2_pic2.webp,,,,,,,,,,,,
Noname,,2W,1.2G,IRC Tramp,9Ch,Wbudowany,30.5x30.5,MMCX,Czarny,Biały,Diody LED,pic/noname_prod3_pic1.webp,pic/noname_prod3_pic2.webp,,,,,,,,,,,,
Noname,,8W,1.2G,Brak,8Ch,Wbudowany,Brak,SMA,Czerwony,Metaliczny,Ekran,pic/noname_prod4_pic1.webp,,,,,,,,,,,,,
Noname,FX895T,3W,5.8G,Smart Audio,48Ch,Wbudowany,20x20,MMCX,Czarny,Pomarańczowy,Diody LED,pic/noname_fx895t_pic1.webp,pic/noname_fx895t_pic2.webp,,,,,,,,,,,,
Noname,VTX,6W,3.3G,IRC Tramp,16Ch,Wbudowany,30.5x30.5,MMCX,Czarny,Biały,Diody LED,pic/noname_vtx_pic1.webp,pic/noname_vtx_pic2.webp,,,,,,,,,,,,
Noname,7.2G,7W,7G +,IRC Tramp,64Ch,Wbudowany,20x20,SMA,Czarny,Pomarańczowy,Diody LED,pic/noname_7.2g_pic1.webp,pic/noname_7.2g_pic2.webp,pic/noname_7.2g_pic3.webp,,,,,,,,,,,
Noname,T36C ,2.5W,3.3G,IRC Tramp,16Ch,Wbudowany,20x20,MMCX,Czarny,Biały,Diody LED,pic/noname_t36c_pic1.webp,,pic/noname_t36c_pic3.webp,,,,,,,,,,,
Noname,DS-33G10WVTX,10W,3.3G,IRC Tramp,16Ch,Wbudowany,20x20,SMA,Metaliczny,Niebieski,Diody LED,pic/noname_ds-33g10wvtx_pic1.webp,pic/noname_ds-33g10wvtx_pic2.webp,,,,,,,https://www.aliexpress.com/item/1005009837588625.html,,,,,
Pilotix,R1600,1.6W,5.8G,IRC Tramp,40Ch,Brak,30.5x30.5,MMCX,Czarny,Biały,Diody LED,pic/pilotix_r1600_pic1.webp,pic/pilotix_r1600_pic2.webp,,,https://www.pilotix.eu/products/vtx-pilotix-r1600-5-8g-1-6w,,,,,,,,,
Pilotix,R2500,2.5W,5.8G,IRC Tramp,48Ch,Wbudowany,25.5x25.5,MMCX,Czarny,Czerwony,Diody LED,pic/pilotix_r2500_pic1.webp,pic/pilotix_r2500_pic2.webp,,,https://www.pilotix.eu/products/vtx-pilotix-r2500-5-8g-2-5w,,,,,,,,,
Pilotix,R2500 V1,2.5W,"5.8G, 4.9G",IRC Tramp,56Ch,Wbudowany,20x20,MMCX,Czarny,Pomarańczowy,Diody LED,pic/pilotix_r2500_pic1.webp,pic/pilotix_r2500_pic2.webp,,,https://www.pilotix.eu/products/vtx-pilotix-r2500-v1-0-4-9-5-8g-2-5w,,,,,,,,,
Pilotix,R2500 SE,2.5W,5.8G,IRC Tramp,48Ch,Brak,30.5x30.5,MMCX,Czarny,Biały,Diody LED,pic/pilotix_r2500_se_pic1.webp,pic/pilotix_r2500_se_pic2.webp,,,https://www.pilotix.eu/products/vtx-pilotix-r2500-se-5-8g-2-5w,,,,,,,,,
Pilotix,R3000,3W,5.8G,IRC Tramp,48Ch,Wbudowany,20x20,MMCX,Czarny,Pomarańczowy,Diody LED,pic/pilotix_r3000_pic1.webp,pic/pilotix_r3000_pic2.webp,,,https://www.pilotix.eu/products/vtx-pilotix-r3000-5-8g-3-0w,,,,,,,,,
Pilotix,R3000 (4.9-5.8G),3W,"5.8G, 4.9G",IRC Tramp,48Ch,Wbudowany,20x20,MMCX,Szary,Pomarańczowy,Diody LED,pic/pilotix_r3000_(4.9-5.8g)_pic1.webp,,pic/pilotix_r3000_(4.9-5.8g)_pic3.webp,,https://www.pilotix.eu/products/vtx-pilotix-r3000-4-9-5-8g-3-0w,,,,,,,,,
Pilotix,R3000 (4.9-6.2G),3W,"5.8G, 4.9G, 6.1G",Smart Audio,64Ch,Wbudowany,20x20,MMCX,Szary,Pomarańczowy,Diody LED,pic/pilotix_r3000_(4.9-5.8g)_pic1.0.webp,pic/pilotix_r3000_(4.9-5.8g)_pic2.0.webp,,,,,,,,,,,,
Skystars,JUPITER Whoop,1.6W,5.8G,Smart Audio,48Ch,Brak,25.5x25.5,U.FL/IPEX,Czarny,Biały,Diody LED,pic/skystars_jupiter_whoop_pic1.webp,pic/skystars_jupiter_whoop_pic2.webp,,,https://skystars-rc.com/2024/07/10/jupiter-1w6-json-files/,,Interfejs: IPEX 1,,,,,,,
Skystars,JUPITER,3W,"5.8G, 4.9G",IRC Tramp,56Ch,Wbudowany,20x20,MMCX,Czarny,Biały,Diody LED,pic/skystars_jupiter_pic1.webp,pic/skystars_jupiter_pic2.webp,,,,,,,,,,,,
BAYCK,Starfish VTX2500,2.5W,5.8G,IRC Tramp,48Ch,Zdejmowany,30.5x30.5,MMCX,Niebieski,Biały,Diody LED,pic/bayck_starfish_vtx2500_pic1.webp,pic/bayck_starfish_vtx2500_pic2.webp,,,https://www.bayckrc.com/productinfo/1199025.html,manuals/starfish_vtx2500.pdf,Istnieje wersja bez wentylatora,,,,,,,
Atlatl,HV Pro,3W,"5.8G, 4.9G",IRC Tramp,56Ch,Wbudowany,20x20,MMCX,Czarny,Czerwony,Diody LED,pic/noname_5.8ghz_vtx_pic1.webp,pic/noname_5.8ghz_vtx_pic2.webp,pic/atlatl_hv_pro_pic3.webp,,,,,,,,,,,
BetaFPV,A25,2.5W,"5.8G, 4.9G, 6.1G",IRC Tramp,64Ch,Wbudowany,20x20,MMCX,Czarny,Biały,Diody LED,pic/betafpv_a25_pic1.webp,pic/betafpv_a25_pic2.webp,,,,,,Niestandardowe częstotliwości XBAND,,,,,,
FPVspeed,SN2,2.5W,"5.8G, 4.9G, 6.1G",IRC Tramp,72Ch,Wbudowany,30.5x30.5,MMCX,Czarny,Biały,Diody LED,pic/fpvspeed_sn2_pic1.webp,pic/fpvspeed_sn2_pic2.webp,,,,,,,,,,,,
Kimpok,4.5G VTX,2.5W,4.5G,IRC Tramp,16Ch,Wbudowany,30.5x30.5,MMCX,Złoty,Metaliczny,Diody LED,pic/kimpok_4.5g_vtx_pic1.webp,pic/kimpok_4.5g_vtx_pic2.webp,,,,,,,,,,,,
Sparkhobby,Nice,2.5W,5.8G,IRC Tramp,64Ch,Wbudowany,20x20,MMCX,Czerwony,Biały,Diody LED,pic/sparkhobby_nice_pic1.webp,pic/sparkhobby_nice_pic2.webp,,,,,,,,,,,,
SLONWAKE ,VTX,5W,5.8G,Smart Audio,48Ch,Zdejmowany,30.5x30.5,SMA,Czerwony,Czarny,Diody LED,pic/slonwake_vtx_pic1.webp,pic/slonwake_vtx_pic2.webp,,,,,,,,,,,,
SLONWAKE ,S1230G_V11,1.6W,5.8G,Smart Audio,48Ch,Brak,30.5x30.5,MMCX,Czerwony,Czarny,Diody LED,pic/slonwake_s1230g_v11_pic1.webp,pic/slonwake_s1230g_v11_pic2.webp,,,,,,,,,,,,
SLONWAKE ,TX665,2.5W,5.8G,IRC Tramp,48Ch,Wbudowany,30.5x30.5,MMCX,Czarny,Czarny,Diody LED,pic/slonwake_tx665_pic1.webp,pic/slonwake_tx665_pic2.webp,pic/slonwake_tx665_pic3.webp,,,,,,https://www.aliexpress.com/item/1005010695673782.html,,,,,
Motorsoft,VTX,2.5W,"5.8G, 4.9G",Smart Audio,56Ch,Wbudowany,Brak,SMA,Czarny,Fioletowy,Diody LED,pic/motorsoft_vtx_pic1.webp,pic/motorsoft_vtx_pic2.webp,,,,,,,,,,,,
